event,op,block,cycle_from_top
matrix_start,0,0,1
matrix_start,0,1,844
matrix_done,0,0,844
vpu_start,0,0,845
vpu_done,0,0,948
sfu_start,0,0,950
sfu_done,0,0,1003
vpu_start,1,0,1005
sfu_start,1,0,1006
sfu_done,1,0,1466
vpu_done,1,0,1468
matrix_start,1,0,1672
matrix_done,0,1,1672
vpu_start,0,1,1673
vpu_done,0,1,1776
sfu_start,0,1,1778
sfu_done,0,1,1831
vpu_start,1,1,1833
sfu_start,1,1,1834
sfu_done,1,1,2294
vpu_done,1,1,2296
matrix_start,0,2,2500
matrix_done,1,0,2500
vpu_start,2,1,2501
matrix_done,0,2,3328
vpu_done,2,1,4134
matrix_start,1,1,4135
vpu_start,0,2,4136
vpu_done,0,2,4239
sfu_start,0,2,4241
sfu_done,0,2,4294
vpu_start,1,2,4296
sfu_start,1,2,4297
sfu_done,1,2,4757
vpu_done,1,2,4759
matrix_start,0,3,4963
matrix_done,1,1,4963
vpu_start,2,2,4964
matrix_done,0,3,5791
vpu_done,2,2,6597
matrix_start,1,2,6598
vpu_start,0,3,6599
vpu_done,0,3,6702
sfu_start,0,3,6704
sfu_done,0,3,6757
vpu_start,1,3,6759
sfu_start,1,3,6760
sfu_done,1,3,7220
vpu_done,1,3,7222
matrix_start,0,4,7426
matrix_done,1,2,7426
vpu_start,2,3,7427
matrix_done,0,4,8254
vpu_done,2,3,9060
matrix_start,1,3,9061
vpu_start,0,4,9062
vpu_done,0,4,9165
sfu_start,0,4,9167
sfu_done,0,4,9220
vpu_start,1,4,9222
sfu_start,1,4,9223
sfu_done,1,4,9683
vpu_done,1,4,9685
matrix_start,0,5,9889
matrix_done,1,3,9889
vpu_start,2,4,9890
matrix_done,0,5,10717
vpu_done,2,4,11523
matrix_start,1,4,11524
vpu_start,0,5,11525
vpu_done,0,5,11628
sfu_start,0,5,11630
sfu_done,0,5,11683
vpu_start,1,5,11685
sfu_start,1,5,11686
sfu_done,1,5,12146
vpu_done,1,5,12148
matrix_start,0,6,12352
matrix_done,1,4,12352
vpu_start,2,5,12353
matrix_done,0,6,13180
vpu_done,2,5,13986
matrix_start,1,5,13987
vpu_start,0,6,13988
vpu_done,0,6,14091
sfu_start,0,6,14093
sfu_done,0,6,14146
vpu_start,1,6,14148
sfu_start,1,6,14149
sfu_done,1,6,14609
vpu_done,1,6,14611
matrix_start,0,7,14815
matrix_done,1,5,14815
vpu_start,2,6,14816
matrix_done,0,7,15643
vpu_done,2,6,16449
matrix_start,1,6,16450
vpu_start,0,7,16451
vpu_done,0,7,16554
sfu_start,0,7,16556
sfu_done,0,7,16609
vpu_start,1,7,16611
sfu_start,1,7,16612
sfu_done,1,7,17072
vpu_done,1,7,17074
matrix_start,0,8,17278
matrix_done,1,6,17278
vpu_start,2,7,17279
matrix_done,0,8,18106
vpu_done,2,7,18912
matrix_start,1,7,18913
vpu_start,0,8,18914
vpu_done,0,8,19017
sfu_start,0,8,19019
sfu_done,0,8,19072
vpu_start,1,8,19074
sfu_start,1,8,19075
sfu_done,1,8,19535
vpu_done,1,8,19537
matrix_start,0,9,19741
matrix_done,1,7,19741
vpu_start,2,8,19742
matrix_done,0,9,20569
vpu_done,2,8,21375
matrix_start,1,8,21376
