job,op,block,head,epoch,issues,commits,done,interval
0,0,0,1,2,816,816,844,844
1,0,1,1,2,816,816,1672,828
2,1,0,1,2,816,816,2500,828
3,0,2,1,2,816,816,3328,828
4,1,1,1,2,816,816,4156,828
5,0,3,1,2,816,816,4984,828
6,1,2,1,2,816,816,5812,828
7,0,4,1,2,816,816,6640,828
8,1,3,1,2,816,816,7468,828
9,0,5,1,2,816,816,8296,828
10,1,4,1,2,816,816,9124,828
11,0,6,1,2,816,816,9952,828
12,1,5,1,2,816,816,10780,828
13,0,7,1,2,816,816,11608,828
14,1,6,1,2,816,816,12436,828
15,0,8,1,2,816,816,13264,828
16,1,7,1,2,816,816,14092,828
17,0,9,1,2,816,816,14920,828
18,1,8,1,2,816,816,15748,828
19,0,10,1,2,816,816,16576,828
20,1,9,1,2,816,816,17404,828
21,0,11,1,2,816,816,18232,828
22,1,10,1,2,816,816,19060,828
23,0,12,1,2,816,816,19888,828
24,1,11,1,2,816,816,20716,828
25,0,13,1,2,816,816,21544,828
26,1,12,1,2,816,816,22372,828
27,0,14,1,2,816,816,23200,828
28,1,13,1,2,816,816,24028,828
29,0,15,1,2,816,816,24856,828
30,1,14,1,2,816,816,25684,828
31,0,16,1,2,816,816,26512,828
32,1,15,1,2,816,816,27340,828
33,0,17,1,2,816,816,28168,828
34,1,16,1,2,816,816,28996,828
35,0,18,1,2,816,816,29824,828
36,1,17,1,2,816,816,30652,828
37,0,19,1,2,816,816,31480,828
38,1,18,1,2,816,816,32308,828
39,0,20,1,2,816,816,33136,828
40,1,19,1,2,816,816,33964,828
41,0,21,1,2,816,816,34792,828
42,1,20,1,2,816,816,35620,828
43,0,22,1,2,816,816,36448,828
44,1,21,1,2,816,816,37276,828
45,0,23,1,2,816,816,38104,828
46,1,22,1,2,816,816,38932,828
47,0,24,1,2,816,816,39760,828
48,1,23,1,2,816,816,40588,828
49,0,25,1,2,816,816,41416,828
50,1,24,1,2,816,816,42244,828
51,0,26,1,2,816,816,43072,828
52,1,25,1,2,816,816,43900,828
53,0,27,1,2,816,816,44728,828
54,1,26,1,2,816,816,45556,828
55,0,28,1,2,816,816,46384,828
56,1,27,1,2,816,816,47212,828
57,0,29,1,2,816,816,48040,828
58,1,28,1,2,816,816,48868,828
59,0,30,1,2,816,816,49696,828
60,1,29,1,2,816,816,50524,828
61,0,31,1,2,816,816,51352,828
62,1,30,1,2,816,816,52180,828
63,0,32,1,2,816,816,53008,828
64,1,31,1,2,816,816,53836,828
65,0,33,1,2,816,816,54664,828
66,1,32,1,2,816,816,55492,828
67,0,34,1,2,816,816,56320,828
68,1,33,1,2,816,816,57148,828
69,0,35,1,2,816,816,57976,828
70,1,34,1,2,816,816,58804,828
71,0,36,1,2,816,816,59632,828
72,1,35,1,2,816,816,60460,828
73,0,37,1,2,816,816,61288,828
74,1,36,1,2,816,816,62116,828
75,0,38,1,2,816,816,62944,828
76,1,37,1,2,816,816,63772,828
77,0,39,1,2,816,816,64600,828
78,1,38,1,2,816,816,65428,828
79,0,40,1,2,816,816,66256,828
80,1,39,1,2,816,816,67084,828
81,0,41,1,2,816,816,67912,828
82,1,40,1,2,816,816,68740,828
83,0,42,1,2,816,816,69568,828
84,1,41,1,2,816,816,70396,828
85,0,43,1,2,816,816,71224,828
86,1,42,1,2,816,816,72052,828
87,0,44,1,2,816,816,72880,828
88,1,43,1,2,816,816,73708,828
89,0,45,1,2,816,816,74536,828
90,1,44,1,2,816,816,75364,828
91,0,46,1,2,816,816,76192,828
92,1,45,1,2,816,816,77020,828
93,0,47,1,2,816,816,77848,828
94,1,46,1,2,816,816,78676,828
95,0,48,1,2,816,816,79504,828
96,1,47,1,2,816,816,80332,828
97,0,49,1,2,816,816,81160,828
98,1,48,1,2,816,816,81988,828
99,0,50,1,2,816,816,82816,828
100,1,49,1,2,816,816,83644,828
101,0,51,1,2,816,816,84472,828
102,1,50,1,2,816,816,85300,828
103,0,52,1,2,816,816,86128,828
104,1,51,1,2,816,816,86956,828
105,0,53,1,2,816,816,87784,828
106,1,52,1,2,816,816,88612,828
107,0,54,1,2,816,816,89440,828
108,1,53,1,2,816,816,90268,828
109,1,54,1,2,816,816,91924,1656
