event,nt_or_run,cycle_from_job
post_cmd,0,3786
post_cmd,1,7280
post_cmd,2,10774
post_cmd,3,14268
post_cmd,4,17762
post_cmd,5,21256
post_cmd,6,24750
post_cmd,7,28244
post_cmd,8,31738
post_cmd,9,35232
post_cmd,10,38726
post_cmd,11,42220
post_cmd,12,45714
post_cmd,13,49208
post_cmd,14,52702
post_cmd,15,56196
perf_issue,0,52224
perf_cold,0,54
perf_a_wait,0,394
perf_w_wait,0,0
perf_final_drain,0,176
perf_pair_drain,0,0
perf_post,0,2480
perf_control,0,1022
perf_pair_gap,0,1386
perf_tile_gap,0,1386
job_done,0,56350
