event,nt_or_run,cycle_from_job
post_cmd,0,3392
post_cmd,0,3392
post_cmd,1,6886
post_cmd,2,10380
post_cmd,3,13874
post_cmd,4,17368
post_cmd,5,20862
post_cmd,6,24356
post_cmd,7,27850
post_cmd,8,31344
post_cmd,9,34838
post_cmd,10,38332
post_cmd,11,41826
post_cmd,12,45320
post_cmd,13,48814
post_cmd,14,52308
post_cmd,15,55802
perf_issue,0,52224
perf_cold,0,54
perf_a_wait,0,0
perf_w_wait,0,0
perf_final_drain,0,176
perf_pair_drain,0,0
perf_post,0,2480
perf_control,0,1022
perf_pair_gap,0,992
perf_tile_gap,0,992
job_done,0,55956
