event,nt_or_run,cycle_from_job
post_cmd,0,4167
post_cmd,1,8325
post_cmd,2,12548
post_cmd,3,16734
post_cmd,4,20864
post_cmd,5,25024
post_cmd,6,29208
post_cmd,7,33463
post_cmd,8,37710
post_cmd,9,42040
post_cmd,10,46218
post_cmd,11,50435
post_cmd,12,54658
post_cmd,13,58829
post_cmd,14,62933
post_cmd,15,67014
perf_issue,0,52224
perf_cold,0,145
perf_a_wait,0,11121
perf_w_wait,0,0
perf_final_drain,0,176
perf_pair_drain,0,0
perf_post,0,2480
perf_control,0,1022
perf_pair_gap,0,12113
perf_tile_gap,0,12113
job_done,0,67168
