event,nt_or_run,cycle_from_job
post_cmd,0,3433
post_cmd,1,7038
post_cmd,2,10636
post_cmd,3,14234
post_cmd,4,17832
post_cmd,5,21430
post_cmd,6,25028
post_cmd,7,28626
post_cmd,8,32224
post_cmd,9,35822
post_cmd,10,39420
post_cmd,11,43018
post_cmd,12,46623
post_cmd,13,50221
post_cmd,14,53819
post_cmd,15,57417
perf_issue,0,52224
perf_cold,0,89
perf_a_wait,0,0
perf_w_wait,0,0
perf_final_drain,0,176
perf_pair_drain,0,0
perf_post,0,4161
perf_control,0,1022
perf_pair_gap,0,992
perf_tile_gap,0,992
job_done,0,57672
