event,op,block,cycle_from_top
matrix_start,0,0,1
matrix_start,0,1,844
matrix_done,0,0,844
vpu_start,0,0,845
vpu_done,0,0,948
sfu_start,0,0,950
sfu_done,0,0,1003
vpu_start,1,0,1005
sfu_start,1,0,1006
sfu_done,1,0,1516
vpu_done,1,0,1518
matrix_start,1,0,1672
matrix_done,0,1,1672
vpu_start,0,1,1673
vpu_done,0,1,1776
sfu_start,0,1,1778
sfu_done,0,1,1831
vpu_start,1,1,1833
sfu_start,1,1,1834
sfu_done,1,1,2344
vpu_done,1,1,2346
matrix_start,0,2,2500
matrix_done,1,0,2500
vpu_start,2,1,2501
vpu_done,2,1,3319
matrix_start,1,1,3328
matrix_done,0,2,3328
vpu_start,0,2,3329
vpu_done,0,2,3432
sfu_start,0,2,3434
sfu_done,0,2,3487
vpu_start,1,2,3489
sfu_start,1,2,3490
sfu_done,1,2,4000
vpu_done,1,2,4002
matrix_start,0,3,4156
matrix_done,1,1,4156
vpu_start,2,2,4157
vpu_done,2,2,4975
matrix_start,1,2,4984
matrix_done,0,3,4984
vpu_start,0,3,4985
vpu_done,0,3,5088
sfu_start,0,3,5090
sfu_done,0,3,5143
vpu_start,1,3,5145
sfu_start,1,3,5146
sfu_done,1,3,5656
vpu_done,1,3,5658
matrix_start,0,4,5812
matrix_done,1,2,5812
vpu_start,2,3,5813
vpu_done,2,3,6631
matrix_start,1,3,6640
matrix_done,0,4,6640
vpu_start,0,4,6641
vpu_done,0,4,6744
sfu_start,0,4,6746
sfu_done,0,4,6799
vpu_start,1,4,6801
sfu_start,1,4,6802
sfu_done,1,4,7312
vpu_done,1,4,7314
matrix_start,0,5,7468
matrix_done,1,3,7468
vpu_start,2,4,7469
vpu_done,2,4,8287
matrix_start,1,4,8296
matrix_done,0,5,8296
vpu_start,0,5,8297
vpu_done,0,5,8400
sfu_start,0,5,8402
sfu_done,0,5,8455
vpu_start,1,5,8457
sfu_start,1,5,8458
sfu_done,1,5,8968
vpu_done,1,5,8970
matrix_start,0,6,9124
matrix_done,1,4,9124
vpu_start,2,5,9125
vpu_done,2,5,9943
matrix_start,1,5,9952
matrix_done,0,6,9952
vpu_start,0,6,9953
vpu_done,0,6,10056
sfu_start,0,6,10058
sfu_done,0,6,10111
vpu_start,1,6,10113
sfu_start,1,6,10114
sfu_done,1,6,10624
vpu_done,1,6,10626
matrix_start,0,7,10780
matrix_done,1,5,10780
vpu_start,2,6,10781
vpu_done,2,6,11599
matrix_start,1,6,11608
matrix_done,0,7,11608
vpu_start,0,7,11609
vpu_done,0,7,11712
sfu_start,0,7,11714
sfu_done,0,7,11767
vpu_start,1,7,11769
sfu_start,1,7,11770
sfu_done,1,7,12280
vpu_done,1,7,12282
matrix_start,0,8,12436
matrix_done,1,6,12436
vpu_start,2,7,12437
vpu_done,2,7,13255
matrix_start,1,7,13264
matrix_done,0,8,13264
vpu_start,0,8,13265
vpu_done,0,8,13368
sfu_start,0,8,13370
sfu_done,0,8,13423
vpu_start,1,8,13425
sfu_start,1,8,13426
sfu_done,1,8,13936
vpu_done,1,8,13938
matrix_start,0,9,14092
matrix_done,1,7,14092
vpu_start,2,8,14093
vpu_done,2,8,14911
matrix_start,1,8,14920
matrix_done,0,9,14920
